date,Skin Aqua Super Moisture Milk Sunscreen PA++++ 40mL,isPartial
2019-11-10,41,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,0,False
2020-01-26,0,False
2020-02-02,52,False
2020-02-09,46,False
2020-02-16,39,False
2020-02-23,39,False
2020-03-01,61,False
2020-03-08,53,False
2020-03-15,80,False
2020-03-22,64,False
2020-03-29,44,False
2020-04-05,59,False
2020-04-12,47,False
2020-04-19,0,False
2020-04-26,0,False
2020-05-03,41,False
2020-05-10,65,False
2020-05-17,45,False
2020-05-24,52,False
2020-05-31,48,False
2020-06-07,69,False
2020-06-14,0,False
2020-06-21,45,False
2020-06-28,46,False
2020-07-05,43,False
2020-07-12,47,False
2020-07-19,0,False
2020-07-26,39,False
2020-08-02,52,False
2020-08-09,37,False
2020-08-16,34,False
2020-08-23,39,False
2020-08-30,51,False
2020-09-06,41,False
2020-09-13,0,False
2020-09-20,0,False
2020-09-27,31,False
2020-10-04,0,False
2020-10-11,0,False
2020-10-18,0,False
2020-10-25,59,False
2020-11-01,51,False
2020-11-08,39,False
2020-11-15,40,False
2020-11-22,51,False
2020-11-29,63,False
2020-12-06,42,False
2020-12-13,0,False
2020-12-20,0,False
2020-12-27,0,False
2021-01-03,59,False
2021-01-10,0,False
2021-01-17,43,False
2021-01-24,52,False
2021-01-31,0,False
2021-02-07,0,False
2021-02-14,40,False
2021-02-21,44,False
2021-02-28,47,False
2021-03-07,71,False
2021-03-14,74,False
2021-03-21,55,False
2021-03-28,53,False
2021-04-04,59,False
2021-04-11,49,False
2021-04-18,42,False
2021-04-25,62,False
2021-05-02,64,False
2021-05-09,41,False
2021-05-16,37,False
2021-05-23,51,False
2021-05-30,100,False
2021-06-06,53,False
2021-06-13,68,False
2021-06-20,49,False
2021-06-27,0,False
2021-07-04,55,False
2021-07-11,71,False
2021-07-18,0,False
2021-07-25,50,False
2021-08-01,39,False
2021-08-08,52,False
2021-08-15,45,False
2021-08-22,51,False
2021-08-29,47,False
2021-09-05,56,False
2021-09-12,38,False
2021-09-19,0,False
2021-09-26,68,False
2021-10-03,44,False
2021-10-10,55,False
2021-10-17,41,False
2021-10-24,59,False
2021-10-31,0,False
2021-11-07,63,False
2021-11-14,40,False
2021-11-21,0,False
2021-11-28,36,False
2021-12-05,37,False
2021-12-12,76,False
2021-12-19,0,False
2021-12-26,0,False
2022-01-02,40,False
2022-01-09,47,False
2022-01-16,38,False
2022-01-23,37,False
2022-01-30,0,False
2022-02-06,57,False
2022-02-13,37,False
2022-02-20,41,False
2022-02-27,40,False
2022-03-06,44,False
2022-03-13,45,False
2022-03-20,50,False
2022-03-27,25,False
2022-04-03,55,False
2022-04-10,35,False
2022-04-17,42,False
2022-04-24,41,False
2022-05-01,42,False
2022-05-08,53,False
2022-05-15,53,False
2022-05-22,57,False
2022-05-29,52,False
2022-06-05,47,False
2022-06-12,64,False
2022-06-19,35,False
2022-06-26,61,False
2022-07-03,41,False
2022-07-10,46,False
2022-07-17,47,False
2022-07-24,33,False
2022-07-31,50,False
2022-08-07,51,False
2022-08-14,40,False
2022-08-21,47,False
2022-08-28,30,False
2022-09-04,36,False
2022-09-11,50,False
2022-09-18,55,False
2022-09-25,64,False
2022-10-02,44,False
2022-10-09,59,False
2022-10-16,49,False
2022-10-23,35,False
2022-10-30,43,False
2022-11-06,45,False
2022-11-13,46,False
2022-11-20,55,False
2022-11-27,51,False
2022-12-04,42,False
2022-12-11,67,False
2022-12-18,50,False
2022-12-25,62,False
2023-01-01,74,False
2023-01-08,26,False
2023-01-15,33,False
2023-01-22,32,False
2023-01-29,45,False
2023-02-05,40,False
2023-02-12,49,False
2023-02-19,54,False
2023-02-26,41,False
2023-03-05,38,False
2023-03-12,40,False
2023-03-19,58,False
2023-03-26,44,False
2023-04-02,57,False
2023-04-09,45,False
2023-04-16,43,False
2023-04-23,41,False
2023-04-30,64,False
2023-05-07,63,False
2023-05-14,47,False
2023-05-21,53,False
2023-05-28,57,False
2023-06-04,51,False
2023-06-11,48,False
2023-06-18,57,False
2023-06-25,53,False
2023-07-02,46,False
2023-07-09,57,False
2023-07-16,29,False
2023-07-23,39,False
2023-07-30,38,False
2023-08-06,37,False
2023-08-13,45,False
2023-08-20,55,False
2023-08-27,58,False
2023-09-03,49,False
2023-09-10,40,False
2023-09-17,43,False
2023-09-24,40,False
2023-10-01,60,False
2023-10-08,57,False
2023-10-15,66,False
2023-10-22,43,False
2023-10-29,41,False
2023-11-05,31,False
2023-11-12,38,False
2023-11-19,0,False
2023-11-26,55,False
2023-12-03,27,False
2023-12-10,80,False
2023-12-17,40,False
2023-12-24,46,False
2023-12-31,41,False
2024-01-07,29,False
2024-01-14,31,False
2024-01-21,0,False
2024-01-28,43,False
2024-02-04,34,False
2024-02-11,0,False
2024-02-18,35,False
2024-02-25,0,False
2024-03-03,56,False
2024-03-10,36,False
2024-03-17,0,False
2024-03-24,43,False
2024-03-31,55,False
2024-04-07,0,False
2024-04-14,50,False
2024-04-21,65,False
2024-04-28,32,False
2024-05-05,80,False
2024-05-12,68,False
2024-05-19,0,False
2024-05-26,57,False
2024-06-02,68,False
2024-06-09,0,False
2024-06-16,47,False
2024-06-23,68,False
2024-06-30,50,False
2024-07-07,69,False
2024-07-14,55,False
2024-07-21,75,False
2024-07-28,43,False
2024-08-04,56,False
2024-08-11,65,False
2024-08-18,59,False
2024-08-25,67,False
2024-09-01,52,False
2024-09-08,66,False
2024-09-15,41,False
2024-09-22,60,False
2024-09-29,0,False
2024-10-06,51,False
2024-10-13,66,False
2024-10-20,65,False
2024-10-27,8,False
2024-11-03,56,False
2024-11-10,65,True
